Forecast indicator,Year1,Mag,Year,Mag
Estimate,1991,"1,049.03",1992,235.29
Estimate,1992,"3,130.20",1993,893.14
Estimate,1993,"1,130.10",1994,"1,786.82"
Estimate,1994,832.9453968,1995,771.99
Estimate,1995,"1,766.05",1996,704.99
Estimate,1996,930.6617778,1997,849.62
Estimate,1997,983.6772845,1998,824.5
Estimate,1998,"2,082.82",1999,"1,534.97"
Estimate,1999,"2,172.87",2000,758.88
Estimate,2000,974.8760353,2001,547.42
Estimate,2001,822.4427286,2002,618.99
Estimate,2002,952.872408,2003,884.27
Estimate,2003,"1,049.03",2004,876.56
Estimate,2004,"3,130.20",2005,719.28
Estimate,2005,"1,130.10",2006,741.65
Estimate,2006,832.9453968,2007,693.6
Estimate,2007,"1,766.05",2008,938.96
Estimate,2008,930.6617778,2009,819.78
Estimate,2009,983.6772845,2010,"2,751.47"
Estimate,2010,"2,082.82",2011,"1,295.66"
Estimate,2011,"2,172.87",2012,944.39
Estimate,2012,974.8760353,2013,"1,024.59"
Estimate,2013,822.4427286,2014,"1,550.94"
Estimate,2014,952.872408,2015,"1,587.65"
Estimate,2015,"1,049.03",2016,"1,267.93"
Estimate,2016,"3,130.20",2017,"1,147.43"
Estimate,2017,"1,130.10",2018,644.7
Estimate,2018,832.9453968,2019,"2,052.01"
